"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"phone",-0.696234405040741,1.01846778392792,-0.0587419457733631,-1.32591760158539,0.0524624474346638,-0.879860699176788,1.14042031764984,0.448887825012207,0.131395608186722,1.05721747875214,1.67954194545746,-2.16318106651306,-0.211342170834541,-0.697092294692993,-0.499819964170456,-0.233577236533165,-0.233251184225082,-1.689333319664,0.39717024564743,0.654834270477295,0.196433261036873,2.01635479927063,-1.97695374488831,0.91330897808075,-1.57492387294769,-0.319978028535843,2.39946413040161,0.744397640228271,2.13911914825439,-0.0249415207654238,-0.176080256700516,-0.516224503517151,0.0561182610690594,-0.597021818161011,0.612339615821838,-1.15148031711578,-0.379600435495377,-0.951986312866211,-1.07744574546814,-0.452053666114807,0.317930430173874,0.386806488037109,0.65508508682251,-0.1722581833601,0.610293447971344,-0.722434639930725,-0.434550553560257,-0.938282072544098,0.8561971783638,-0.987569093704224
"including",-0.148326829075813,-0.0794910714030266,-1.04234063625336,0.861738324165344,-0.262178808450699,0.383285611867905,-0.953586161136627,1.00760912895203,-0.0685672610998154,-0.0288155358284712,0.589662551879883,0.696573495864868,-0.337203323841095,-0.0366334728896618,-0.303640067577362,1.22386467456818,-1.05646455287933,-0.381518393754959,-1.89964258670807,1.33370590209961,1.04240238666534,-1.88186764717102,-0.563730001449585,-2.21269083023071,1.56027865409851,-0.26318883895874,-1.0342230796814,0.245810717344284,-0.611911058425903,-0.0783739909529686,-2.17021369934082,-2.46351003646851,0.0341515429317951,-0.724505662918091,-0.175061851739883,-0.503953814506531,0.761486172676086,-0.998553991317749,1.10465800762177,-0.0333105996251106,-0.87813013792038,-0.28982737660408,0.7737175822258,-0.110318325459957,-1.47851705551147,0.786283016204834,-1.76560091972351,0.626515686511993,-0.844609081745148,-0.269079655408859
"supposedly",-0.888209462165833,-0.199271664023399,0.610656559467316,1.8025997877121,-1.4181364774704,0.0922117680311203,-0.330540001392365,2.11631941795349,-0.224324226379395,1.06449496746063,0.481547206640244,-1.29242360591888,0.499000757932663,-0.396897941827774,1.30026710033417,0.342578262090683,0.516945958137512,-0.630342602729797,0.256816685199738,1.59291696548462,-0.800069093704224,0.397228509187698,-1.24916899204254,-0.539882123470306,-0.289042115211487,-0.271041691303253,1.45736622810364,0.715713143348694,0.455862581729889,-1.57003116607666,-0.430223792791367,0.498074889183044,0.508946478366852,0.00431962357833982,0.319758772850037,1.82165575027466,0.403880625963211,0.757775545120239,-0.968765497207642,-0.62007474899292,-1.11570382118225,-2.0123872756958,2.06483149528503,1.03739476203918,-0.72715425491333,1.01120674610138,-1.16669511795044,0.643673598766327,0.423679381608963,1.39416837692261
"from",0.196009382605553,-0.551532566547394,0.909164667129517,1.75933444499969,0.102906361222267,-0.306389510631561,-1.05083966255188,-1.39170658588409,1.57483208179474,-0.826954007148743,0.847144424915314,-1.53463327884674,-0.781835854053497,-0.2903912961483,-0.25963431596756,-0.287091881036758,-0.681698977947235,-0.420982390642166,-0.999727547168732,-1.14128839969635,1.16083431243896,-1.95363628864288,-0.0160427372902632,-1.83233630657196,1.7619297504425,-0.910941421985626,1.237344622612,-0.934627115726471,1.13431084156036,0.323031157255173,-1.15742909908295,-1.87639665603638,-0.400804847478867,-0.58923351764679,1.69986772537231,0.722124040126801,-0.71707558631897,0.139324367046356,-0.681400537490845,0.9403937458992,-0.354225218296051,0.0382414683699608,-0.800260782241821,-0.0827605277299881,-1.13631415367126,0.934695363044739,-0.0805048421025276,-0.853883862495422,1.2078492641449,-0.719040274620056
"it’s",0.238269835710526,-1.36850214004517,-1.45969521999359,-0.175721302628517,0.717794716358185,0.63050365447998,0.484859079122543,-0.746869444847107,-0.245323687791824,1.80629920959473,-0.464985549449921,1.37379896640778,0.863130152225494,1.23163151741028,-1.37410974502563,-1.04538142681122,0.121429517865181,1.42556190490723,-0.322263896465302,1.07494556903839,-0.697374939918518,0.796194493770599,-0.982634663581848,0.0293942783027887,-0.746493875980377,0.203683912754059,2.63563060760498,-0.194150269031525,0.350350081920624,-0.67661851644516,1.69818484783173,1.27015256881714,0.27236270904541,0.438837289810181,0.284008920192719,0.464521944522858,-1.51733076572418,-0.492563307285309,0.86193710565567,1.00048232078552,1.28715145587921,1.60246384143829,0.766069710254669,-1.32456839084625,1.56785786151886,0.572433054447174,0.555524170398712,0.299578011035919,-0.794447600841522,-0.496772974729538
"cancel",0.660836756229401,1.04192185401917,-0.227613285183907,0.998238682746887,1.46998798847198,0.216008469462395,-1.74437749385834,-2.17574310302734,-0.748727977275848,-1.45358943939209,2.11509418487549,-0.190826922655106,-1.3422030210495,1.21997809410095,0.362025499343872,0.338046282529831,-0.0426933579146862,-0.330005079507828,0.448194533586502,-0.403999775648117,0.977549314498901,1.18901813030243,-0.281356871128082,-0.522635400295258,-0.750868439674377,-0.661471307277679,-1.31042087078094,-1.62509715557098,0.673732459545135,1.74575901031494,1.20070457458496,0.095892108976841,0.248537123203278,0.510670900344849,-0.59965193271637,1.91060519218445,0.149207949638367,0.33846190571785,-1.01649606227875,0.285178154706955,-1.18013167381287,1.16462004184723,-0.282007783651352,0.276543706655502,-1.39208960533142,-0.759748637676239,-0.166104361414909,-0.0317478254437447,0.870810627937317,1.19452774524689
"save",2.02881646156311,-0.263597667217255,0.449343085289001,0.701509594917297,0.437522649765015,1.03446984291077,-2.55761957168579,0.0148114450275898,0.986860811710358,1.20367109775543,0.318606048822403,-0.323154658079147,0.575785994529724,1.26272690296173,1.12655985355377,-1.43075299263,0.658144414424896,1.88794684410095,-0.604651749134064,0.07634237408638,0.478823870420456,-1.44162464141846,0.449216604232788,1.55061292648315,-0.163739308714867,1.51386320590973,-0.24828177690506,0.475001990795135,-0.72404545545578,-0.532840549945831,0.356372237205505,-0.620854735374451,0.982750833034515,-0.668335795402527,1.63422238826752,1.49362087249756,-0.776408433914185,0.624462962150574,-1.07009446620941,-1.76329052448273,-1.10437715053558,0.895923972129822,1.22477352619171,-0.228367775678635,-0.184754624962807,0.469525337219238,0.355896860361099,-0.798906147480011,0.0816076621413231,-0.274481952190399
"aesthetics",-0.054712176322937,-0.173671901226044,-1.80948901176453,-2.54533243179321,-1.09968721866608,-0.154152885079384,0.406560778617859,1.64474785327911,0.206236094236374,0.58008474111557,0.947746932506561,0.266470700502396,0.731280267238617,-1.03044962882996,1.57155537605286,0.875086605548859,-0.0817382037639618,-0.411395698785782,-0.833427786827087,-0.0272289831191301,-1.34310841560364,1.59979820251465,-1.27798473834991,0.725990116596222,0.771713972091675,0.961200058460236,-1.41124832630157,-0.33023789525032,-0.484960347414017,0.656867623329163,-0.632786393165588,-0.261020958423615,0.6822909116745,0.817836940288544,0.753103971481323,0.525076687335968,0.264604240655899,-0.276466727256775,0.154072284698486,-0.999511301517487,-2.03415632247925,-1.31895661354065,0.622772336006165,-0.32662045955658,0.482052803039551,0.166195824742317,2.22529029846191,0.650954067707062,1.5329966545105,-0.524894535541534
"like",0.373676598072052,-0.807871639728546,-0.565324604511261,1.82405960559845,-0.825094759464264,0.164480641484261,0.984362602233887,1.77348148822784,-0.452909648418427,1.18329524993896,-1.44129729270935,-1.85146200656891,-1.7606954574585,1.12950491905212,-0.306991100311279,1.05435252189636,0.23415170609951,0.742690026760101,1.3091322183609,1.35657620429993,-0.731319069862366,-1.3837673664093,-0.220622777938843,-0.161287561058998,-0.0175694394856691,0.961341798305511,-0.0840769410133362,-0.0240000393241644,1.4520435333252,-0.0529606081545353,-0.388887763023376,-1.18513906002045,0.0704409629106522,0.619411110877991,1.17585790157318,-0.941628515720367,-0.621645450592041,0.129647895693779,0.888852059841156,0.705933511257172,-0.389817714691162,-0.939461171627045,-1.02708768844604,0.468597412109375,0.670072436332703,-1.47093427181244,-1.15739345550537,-1.94367814064026,0.280056536197662,-1.51506292819977
"allow",1.48282158374786,1.46909177303314,0.414069384336472,-0.28879377245903,0.0996565297245979,-0.5264031291008,-1.66049885749817,0.0374490655958652,-1.33327770233154,1.34971511363983,-1.12372195720673,0.529166519641876,-0.616721034049988,0.000679483229760081,0.331348448991776,0.0161814112216234,0.526925086975098,1.28866183757782,0.945189952850342,-1.24287128448486,1.46555030345917,-0.247916504740715,-0.97450840473175,-0.337226808071136,-0.300279647111893,-0.634627997875214,-0.686360359191895,1.17666506767273,0.467478156089783,-0.665407776832581,0.712356448173523,-1.43868780136108,-0.97107207775116,-1.22666645050049,-0.630830764770508,0.794045746326447,1.32268333435059,-1.27320635318756,-0.490195125341415,0.28724017739296,-0.42848065495491,2.69224858283997,0.91028767824173,0.854380130767822,-1.33965456485748,-0.647195100784302,-0.997491717338562,1.83871269226074,-0.455900430679321,-0.718744695186615
